Flight Number,PassengerID,Airline,Origin,Destination,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay (min),Arrival Delay (min),Delay Reason,Passenger Satisfaction,Survey Score,Comments,Number of Passengers,Date,Delay Duration (minutes),Flight Status
FN7185,PAX1183,JetStream,LAX,BOS,01:12,01:32,03:42,04:02,20,20,Weather,Medium,5,,221,2024-11-13,20,Delayed
FN4640,PAX1184,JetStream,ATL,BOS,08:43,09:11,11:01,11:05,28,4,Weather,Medium,4,,57,2024-06-13,4,Delayed
FN9044,PAX1185,CloudAir,DFW,PHX,06:13,06:51,08:41,09:19,38,38,Weather,Low,5,,200,2024-08-12,38,Delayed
FN9007,PAX1186,CloudAir,ORD,MIA,18:29,19:08,21:55,22:34,39,39,Technical,Low,5,Smooth flight.,165,2024-11-02,39,Delayed
FN3983,PAX1187,CloudAir,ATL,BOS,10:14,10:39,13:21,13:46,25,25,None,Medium,1,Uncomfortable seats.,290,2024-08-21,25,Delayed
FN9502,PAX1188,FlyHigh,JFK,MIA,16:21,16:48,18:06,18:33,27,27,None,Medium,1,,190,2024-06-20,27,Delayed
FN5361,PAX1189,JetStream,ORD,SEA,17:42,18:03,19:27,19:48,21,21,Technical,Medium,4,Smooth flight.,226,2024-05-31,21,Delayed
FN8832,PAX1190,JetStream,ATL,MIA,19:25,19:52,23:20,23:47,27,27,None,Medium,1,Great service!,170,2024-11-10,27,Delayed
FN8486,PAX1191,FlyHigh,JFK,DEN,03:06,03:48,06:39,07:21,42,42,None,Low,5,Smooth flight.,53,2024-06-08,42,Delayed
FN3265,PAX1192,JetStream,ATL,DEN,22:13,22:45,00:56,00:59,32,3,Weather,Medium,5,Friendly staff.,54,2024-04-05,3,Delayed
FN8312,PAX1193,FlyHigh,LAX,PHX,18:42,19:14,22:14,22:46,32,32,None,Low,2,Uncomfortable seats.,288,2024-08-20,32,Delayed
FN2218,PAX1194,JetStream,LAX,PHX,09:39,10:10,12:53,13:24,31,31,None,Low,1,Uncomfortable seats.,74,2024-06-28,31,Delayed
FN4972,PAX1195,CloudAir,DFW,SEA,15:54,16:20,18:01,18:27,26,26,Technical,Medium,5,Great service!,77,2024-04-22,26,Delayed
FN7183,PAX1196,FlyHigh,DFW,MIA,09:52,10:22,12:28,12:58,30,30,None,Medium,5,Delay was frustrating.,129,2024-11-13,30,Delayed
FN5286,PAX1197,FlyHigh,JFK,PHX,09:30,10:07,12:46,13:23,37,37,None,Low,2,,107,2024-02-21,37,Delayed
FN4998,PAX1198,CloudAir,LAX,SEA,17:34,18:10,20:50,21:26,36,36,None,Low,5,Delay was frustrating.,88,2024-09-24,36,Delayed
FN5543,PAX1199,AirNova,ORD,MIA,17:49,18:16,21:02,21:29,27,27,None,Medium,2,,123,2024-10-21,27,Delayed
FN8491,PAX1200,FlyHigh,LAX,BOS,23:55,00:17,03:00,03:22,22,22,Weather,Medium,5,Smooth flight.,167,2024-04-22,22,Delayed
FN9220,PAX1201,FlyHigh,LAX,BOS,19:03,19:37,22:37,23:11,34,34,None,Low,3,,252,2024-04-10,34,Delayed
FN2098,PAX1202,SkyJet,ORD,BOS,12:17,12:46,15:45,16:14,29,29,None,Medium,5,Uncomfortable seats.,252,2024-04-22,29,Delayed
FN5179,PAX1203,FlyHigh,ATL,SEA,14:08,14:53,15:58,16:43,45,45,Weather,Low,5,Friendly staff.,173,2024-03-21,45,Delayed
FN7573,PAX1204,JetStream,ORD,MIA,19:46,20:14,21:42,22:10,28,28,None,Medium,5,,223,2024-07-05,28,Delayed
FN3946,PAX1205,SkyJet,ORD,DEN,03:18,03:50,05:11,05:43,32,32,None,Low,4,Great service!,66,2024-04-22,32,Delayed
FN7644,PAX1206,AirNova,JFK,DEN,08:40,09:05,11:12,11:37,25,25,Crew,Medium,3,,258,2024-01-02,25,Delayed
FN4496,PAX1207,FlyHigh,DFW,BOS,22:23,22:57,00:25,00:59,34,34,Technical,Low,2,Uncomfortable seats.,170,2024-05-09,34,Delayed
FN2949,PAX1208,JetStream,JFK,DEN,11:12,11:43,14:18,14:49,31,31,None,Low,3,Uncomfortable seats.,215,2024-08-07,31,Delayed
FN9508,PAX1209,FlyHigh,ORD,BOS,02:22,02:47,04:40,05:05,25,25,None,Medium,4,Smooth flight.,272,2024-02-23,25,Delayed
FN9442,PAX1210,FlyHigh,LAX,BOS,11:55,12:32,14:26,15:03,37,37,None,Low,4,,203,2024-12-08,37,Delayed
FN2560,PAX1211,AirNova,ATL,PHX,14:33,15:02,16:14,16:43,29,29,Crew,Medium,3,Friendly staff.,222,2024-08-11,29,Delayed
FN5644,PAX1212,JetStream,DFW,MIA,11:34,11:51,15:29,15:46,17,17,Technical,Medium,1,Friendly staff.,238,2024-08-12,17,Delayed
FN4453,PAX1213,SkyJet,DFW,PHX,15:02,15:31,16:55,17:24,29,29,Technical,Medium,4,Delay was frustrating.,154,2024-05-05,29,Delayed
FN2394,PAX1214,CloudAir,JFK,BOS,19:00,19:28,21:48,22:16,28,28,None,Medium,2,Smooth flight.,89,2024-05-09,28,Delayed
FN1525,PAX1215,CloudAir,DFW,PHX,14:26,15:01,17:22,17:57,35,35,Weather,Low,5,Friendly staff.,111,2024-02-22,35,Delayed
FN9219,PAX1216,CloudAir,JFK,MIA,00:13,00:43,03:52,03:47,30,-5,None,High,1,Delay was frustrating.,253,2024-06-20,0,On Time
FN6724,PAX1217,CloudAir,JFK,MIA,15:18,15:47,18:45,18:49,29,4,Crew,Medium,2,Friendly staff.,57,2024-08-05,4,Delayed
FN3734,PAX1218,AirNova,ATL,DEN,08:32,08:58,10:29,10:28,26,-1,Technical,High,5,Smooth flight.,105,2024-06-08,0,On Time
FN1281,PAX1219,AirNova,JFK,DEN,21:14,21:36,00:53,00:52,22,-1,Crew,High,2,Great service!,108,2024-07-16,0,On Time
FN2239,PAX1220,FlyHigh,DFW,PHX,16:48,17:19,18:37,19:08,31,31,Weather,Low,5,Smooth flight.,234,2024-09-03,31,Delayed
FN2969,PAX1221,CloudAir,ATL,BOS,15:18,15:51,18:55,18:53,33,-2,None,High,2,Great service!,296,2024-11-19,0,On Time
FN7089,PAX1222,CloudAir,DFW,MIA,01:25,01:51,04:53,05:19,26,26,Weather,Medium,5,,162,2024-07-21,26,Delayed
FN4124,PAX1223,AirNova,JFK,SEA,05:44,06:17,09:40,10:13,33,33,Crew,Low,3,Great service!,241,2024-07-02,33,Delayed
FN8114,PAX1224,SkyJet,LAX,PHX,18:32,19:09,21:18,21:55,37,37,Crew,Low,5,,68,2024-05-02,37,Delayed
FN9189,PAX1225,JetStream,ORD,BOS,06:36,07:11,09:20,09:55,35,35,Technical,Low,4,Smooth flight.,192,2024-09-11,35,Delayed
FN8010,PAX1226,CloudAir,DFW,SEA,13:47,14:18,15:51,16:22,31,31,None,Low,4,Delay was frustrating.,121,2024-10-20,31,Delayed
FN9234,PAX1227,CloudAir,ORD,DEN,10:28,11:04,14:10,14:46,36,36,None,Low,4,,156,2024-10-06,36,Delayed
FN9564,PAX1228,SkyJet,DFW,DEN,06:38,07:05,10:12,10:39,27,27,Crew,Medium,5,Delay was frustrating.,185,2024-11-20,27,Delayed
FN5445,PAX1229,FlyHigh,ORD,DEN,11:09,11:43,14:50,15:24,34,34,Weather,Low,5,,208,2024-04-07,34,Delayed
FN7284,PAX1230,AirNova,LAX,BOS,07:24,07:54,11:02,11:32,30,30,None,Medium,2,Uncomfortable seats.,59,2024-07-16,30,Delayed
FN7807,PAX1231,FlyHigh,ORD,PHX,11:21,11:59,14:21,14:59,38,38,None,Low,4,,196,2024-08-27,38,Delayed
FN2249,PAX1232,JetStream,JFK,BOS,16:32,17:01,18:50,19:19,29,29,Weather,Medium,1,Great service!,192,2024-05-23,29,Delayed
FN8421,PAX1233,JetStream,ATL,DEN,19:43,20:15,22:29,23:01,32,32,None,Low,2,Smooth flight.,116,2024-04-06,32,Delayed
FN6699,PAX1234,CloudAir,ORD,MIA,19:50,20:24,21:43,21:40,34,-3,Technical,High,5,,85,2024-07-19,0,On Time
FN4713,PAX1235,SkyJet,DFW,PHX,01:12,01:39,02:54,03:21,27,27,None,Medium,2,Delay was frustrating.,279,2024-05-03,27,Delayed
FN6291,PAX1236,CloudAir,ORD,SEA,16:53,17:18,19:48,20:13,25,25,Technical,Medium,5,Friendly staff.,165,2024-07-05,25,Delayed
FN3493,PAX1237,JetStream,JFK,BOS,07:32,07:56,09:56,10:20,24,24,None,Medium,1,Uncomfortable seats.,185,2024-11-21,24,Delayed
FN5037,PAX1238,CloudAir,JFK,SEA,03:56,04:31,05:55,06:30,35,35,None,Low,5,Smooth flight.,253,2024-12-14,35,Delayed
FN3496,PAX1239,FlyHigh,JFK,BOS,08:28,08:54,11:22,11:48,26,26,None,Medium,3,,259,2024-09-15,26,Delayed
FN8693,PAX1240,JetStream,ATL,SEA,02:22,02:50,06:05,06:06,28,1,Technical,Medium,1,Great service!,212,2024-05-27,1,Delayed
FN9286,PAX1241,JetStream,ORD,DEN,04:25,05:01,06:48,07:24,36,36,Crew,Low,5,Great service!,180,2024-09-08,36,Delayed
FN1963,PAX1242,JetStream,ATL,PHX,15:01,15:24,18:46,19:09,23,23,Weather,Medium,1,,177,2024-12-11,23,Delayed
FN3719,PAX1243,AirNova,JFK,MIA,09:02,09:32,11:31,12:01,30,30,Weather,Medium,4,Friendly staff.,80,2024-05-26,30,Delayed
FN6078,PAX1244,FlyHigh,ATL,MIA,12:57,13:22,15:22,15:47,25,25,Weather,Medium,1,,287,2024-05-27,25,Delayed
FN5517,PAX1245,CloudAir,ATL,DEN,10:08,10:44,12:29,12:27,36,-2,Weather,High,5,Friendly staff.,276,2024-12-17,0,On Time
FN5481,PAX1246,FlyHigh,ATL,DEN,16:21,16:57,19:16,19:52,36,36,Technical,Low,5,Delay was frustrating.,264,2024-07-17,36,Delayed
FN9656,PAX1247,FlyHigh,ORD,MIA,01:04,01:31,03:55,03:53,27,-2,Weather,High,4,Friendly staff.,232,2024-11-03,0,On Time
FN4493,PAX1248,CloudAir,DFW,BOS,08:29,08:52,11:20,11:43,23,23,None,Medium,5,,66,2024-05-07,23,Delayed
FN4897,PAX1249,SkyJet,LAX,PHX,02:08,02:43,05:14,05:49,35,35,None,Low,5,Friendly staff.,57,2024-02-08,35,Delayed
FN7230,PAX1250,AirNova,ATL,PHX,01:18,01:56,03:56,04:34,38,38,Weather,Low,1,Smooth flight.,178,2024-12-03,38,Delayed
FN1365,PAX1251,SkyJet,DFW,SEA,06:47,07:09,10:44,11:06,22,22,Technical,Medium,5,Smooth flight.,77,2024-12-25,22,Delayed
FN7511,PAX1252,SkyJet,ATL,SEA,07:21,07:42,10:26,10:30,21,4,None,Medium,5,Uncomfortable seats.,122,2024-05-08,4,Delayed
FN9569,PAX1253,CloudAir,ORD,BOS,16:02,16:24,18:49,18:52,22,3,Technical,Medium,2,Friendly staff.,51,2024-09-23,3,Delayed
FN8569,PAX1254,JetStream,DFW,MIA,02:39,03:13,06:12,06:16,34,4,Technical,Medium,3,Friendly staff.,266,2024-05-30,4,Delayed
FN6341,PAX1255,JetStream,ORD,DEN,06:53,07:33,10:15,10:55,40,40,Weather,Low,4,Smooth flight.,198,2024-10-24,40,Delayed
FN7579,PAX1256,FlyHigh,JFK,SEA,04:15,04:56,05:46,05:55,41,9,None,Medium,4,Great service!,93,2024-04-08,9,Delayed
FN3460,PAX1257,SkyJet,DFW,SEA,07:00,07:31,10:27,10:58,31,31,Crew,Low,5,Great service!,155,2024-09-19,31,Delayed
FN3520,PAX1258,CloudAir,ORD,PHX,21:24,22:02,23:57,00:35,38,38,None,Low,5,Smooth flight.,115,2024-09-08,38,Delayed
FN4083,PAX1259,JetStream,LAX,MIA,23:36,00:07,02:35,03:06,31,31,Weather,Low,5,,69,2024-05-23,31,Delayed
FN6251,PAX1260,SkyJet,ATL,SEA,16:54,17:23,20:35,21:04,29,29,None,Medium,2,Great service!,279,2024-12-11,29,Delayed
FN3563,PAX1261,AirNova,DFW,MIA,03:21,03:53,05:47,06:19,32,32,Crew,Low,1,Delay was frustrating.,104,2024-04-21,32,Delayed
FN4390,PAX1262,FlyHigh,JFK,DEN,12:45,13:15,16:41,17:11,30,30,Weather,Medium,3,,279,2024-02-29,30,Delayed
FN2169,PAX1263,SkyJet,DFW,DEN,00:18,00:47,03:40,04:09,29,29,Weather,Medium,5,,106,2024-01-02,29,Delayed
FN3125,PAX1264,SkyJet,JFK,MIA,02:40,03:09,04:56,04:56,29,0,Technical,High,4,Delay was frustrating.,298,2024-10-30,0,On Time
FN3757,PAX1265,JetStream,JFK,MIA,02:17,02:44,05:39,06:06,27,27,None,Medium,5,Great service!,84,2024-09-10,27,Delayed
FN9895,PAX1266,AirNova,ORD,SEA,09:40,10:16,11:58,12:34,36,36,None,Low,4,Great service!,88,2024-05-19,36,Delayed
FN8531,PAX1267,SkyJet,ORD,SEA,10:40,11:15,12:50,12:56,35,6,Technical,Medium,5,Friendly staff.,262,2024-02-06,6,Delayed
FN3014,PAX1268,CloudAir,JFK,BOS,06:53,07:19,10:40,11:06,26,26,None,Medium,3,Great service!,277,2024-06-08,26,Delayed
FN1671,PAX1269,FlyHigh,ATL,DEN,04:09,04:40,05:45,05:54,31,9,None,Medium,4,,219,2024-01-09,9,Delayed
FN4670,PAX1270,CloudAir,ORD,DEN,14:55,15:27,16:45,17:17,32,32,Weather,Low,3,Uncomfortable seats.,134,2024-08-20,32,Delayed
FN1597,PAX1271,JetStream,JFK,PHX,07:24,07:46,11:00,11:22,22,22,Technical,Medium,2,,235,2024-04-08,22,Delayed
FN2537,PAX1272,JetStream,ATL,PHX,07:02,07:35,10:09,10:42,33,33,Crew,Low,4,Friendly staff.,174,2024-05-26,33,Delayed
FN3324,PAX1273,SkyJet,JFK,DEN,09:30,09:59,12:02,12:31,29,29,Technical,Medium,5,,192,2024-10-30,29,Delayed
FN6879,PAX1274,FlyHigh,DFW,DEN,10:03,10:34,13:25,13:28,31,3,None,Medium,4,Friendly staff.,55,2024-07-26,3,Delayed
FN1007,PAX1275,SkyJet,JFK,PHX,06:18,06:46,08:38,08:44,28,6,None,Medium,4,Smooth flight.,104,2024-05-10,6,Delayed
FN7530,PAX1276,AirNova,LAX,BOS,09:13,09:42,12:52,13:21,29,29,None,Medium,3,,210,2024-05-31,29,Delayed
FN7509,PAX1277,FlyHigh,JFK,PHX,16:54,17:26,18:27,18:59,32,32,None,Low,5,Delay was frustrating.,65,2024-02-23,32,Delayed
FN2529,PAX1278,FlyHigh,LAX,MIA,16:52,17:25,18:25,18:58,33,33,Weather,Low,1,Delay was frustrating.,146,2024-04-29,33,Delayed
FN1645,PAX1279,FlyHigh,JFK,PHX,15:29,15:54,17:07,17:32,25,25,None,Medium,5,,157,2024-06-09,25,Delayed
FN5079,PAX1280,AirNova,JFK,PHX,12:04,12:30,14:49,15:15,26,26,Weather,Medium,1,Smooth flight.,212,2024-04-25,26,Delayed
FN7416,PAX1281,AirNova,JFK,BOS,00:40,01:14,03:24,03:58,34,34,None,Low,5,Uncomfortable seats.,82,2024-03-15,34,Delayed
FN6779,PAX1282,SkyJet,JFK,MIA,04:31,04:53,06:47,06:50,22,3,None,Medium,1,Great service!,116,2024-04-22,3,Delayed
FN9179,PAX1283,SkyJet,JFK,BOS,02:22,02:47,05:48,06:13,25,25,None,Medium,5,,126,2024-04-13,25,Delayed
FN7701,PAX1284,SkyJet,ORD,SEA,10:45,11:18,13:45,14:18,33,33,Technical,Low,2,Friendly staff.,127,2024-12-05,33,Delayed
FN2967,PAX1285,JetStream,ATL,DEN,04:40,05:09,07:51,08:20,29,29,Weather,Medium,5,,250,2024-09-10,29,Delayed
FN5493,PAX1286,AirNova,JFK,DEN,02:52,03:19,04:40,05:07,27,27,Technical,Medium,1,Uncomfortable seats.,113,2024-08-14,27,Delayed
FN6827,PAX1287,FlyHigh,LAX,DEN,01:28,02:04,04:15,04:51,36,36,None,Low,5,Smooth flight.,159,2024-04-21,36,Delayed
FN2492,PAX1288,AirNova,LAX,MIA,18:05,18:40,20:09,20:44,35,35,Weather,Low,5,Delay was frustrating.,210,2024-04-08,35,Delayed
FN2447,PAX1289,SkyJet,DFW,MIA,20:24,21:03,22:58,22:59,39,1,None,Medium,4,Great service!,196,2024-06-01,1,Delayed
FN1771,PAX1290,SkyJet,ORD,DEN,10:04,10:33,13:45,14:14,29,29,Technical,Medium,4,,211,2024-12-14,29,Delayed
FN9921,PAX1291,FlyHigh,ATL,PHX,18:30,18:58,22:24,22:24,28,0,Weather,High,3,,142,2024-12-03,0,On Time
FN7796,PAX1292,AirNova,DFW,PHX,14:26,14:50,17:19,17:43,24,24,Weather,Medium,1,Uncomfortable seats.,92,2024-07-12,24,Delayed
FN7376,PAX1293,JetStream,JFK,DEN,14:24,14:51,16:55,17:22,27,27,None,Medium,3,,70,2024-11-05,27,Delayed
FN2356,PAX1294,AirNova,ATL,SEA,03:02,03:39,04:42,04:47,37,5,Technical,Medium,3,Friendly staff.,249,2024-06-11,5,Delayed
FN1987,PAX1295,CloudAir,DFW,MIA,18:52,19:24,21:06,21:38,32,32,None,Low,5,Great service!,207,2024-07-26,32,Delayed
FN2774,PAX1296,SkyJet,DFW,PHX,14:09,14:35,17:45,18:11,26,26,Technical,Medium,5,Friendly staff.,292,2024-06-17,26,Delayed
FN5658,PAX1297,JetStream,LAX,BOS,15:58,16:30,18:18,18:50,32,32,Crew,Low,5,Smooth flight.,204,2024-06-09,32,Delayed
FN3466,PAX1298,FlyHigh,DFW,BOS,06:26,06:56,09:16,09:46,30,30,Technical,Medium,4,Great service!,262,2024-03-08,30,Delayed
FN7563,PAX1299,FlyHigh,LAX,PHX,21:42,22:18,23:32,00:08,36,36,Weather,Low,4,,79,2024-10-15,36,Delayed
FN2141,PAX1300,SkyJet,JFK,DEN,03:14,03:43,05:31,05:36,29,5,Technical,Medium,4,Delay was frustrating.,205,2024-10-03,5,Delayed
FN4273,PAX1301,SkyJet,DFW,DEN,07:00,07:38,10:57,11:35,38,38,Technical,Low,1,Friendly staff.,268,2024-10-30,38,Delayed
FN2054,PAX1302,SkyJet,ATL,PHX,14:40,15:13,18:05,18:38,33,33,Weather,Low,5,Uncomfortable seats.,137,2024-05-14,33,Delayed
FN3309,PAX1303,FlyHigh,ATL,SEA,01:14,01:37,04:30,04:53,23,23,Weather,Medium,4,Great service!,171,2024-07-13,23,Delayed
FN7139,PAX1304,JetStream,DFW,MIA,02:49,03:17,06:32,07:00,28,28,None,Medium,3,,293,2024-05-07,28,Delayed
FN6498,PAX1305,FlyHigh,LAX,MIA,16:47,17:17,20:05,20:35,30,30,Technical,Medium,5,Smooth flight.,299,2024-02-02,30,Delayed
FN4456,PAX1306,SkyJet,LAX,MIA,15:41,16:14,19:29,20:02,33,33,Crew,Low,5,Great service!,147,2024-06-24,33,Delayed
FN7905,PAX1307,FlyHigh,ATL,DEN,07:14,07:49,10:05,10:40,35,35,Weather,Low,3,Great service!,194,2024-01-22,35,Delayed
FN4211,PAX1308,AirNova,DFW,DEN,01:03,01:34,03:26,03:57,31,31,None,Low,4,Great service!,233,2024-08-25,31,Delayed
FN8166,PAX1309,CloudAir,JFK,PHX,09:17,09:59,12:34,13:16,42,42,Technical,Low,4,Delay was frustrating.,200,2024-06-06,42,Delayed
FN6806,PAX1310,SkyJet,ATL,SEA,11:43,12:13,14:34,15:04,30,30,None,Medium,4,,121,2024-02-07,30,Delayed
FN2137,PAX1311,AirNova,JFK,MIA,05:36,06:05,07:36,08:05,29,29,Weather,Medium,5,Delay was frustrating.,113,2024-08-17,29,Delayed
FN8470,PAX1312,FlyHigh,DFW,DEN,03:13,03:40,05:12,05:39,27,27,None,Medium,4,,120,2024-12-30,27,Delayed
FN9068,PAX1313,SkyJet,ATL,PHX,21:55,22:31,00:01,00:03,36,2,Crew,Medium,5,,243,2024-02-20,2,Delayed
FN4655,PAX1314,FlyHigh,LAX,BOS,15:41,16:07,18:52,19:18,26,26,Crew,Medium,4,Smooth flight.,94,2024-09-20,26,Delayed
FN8913,PAX1315,SkyJet,DFW,SEA,19:06,19:43,23:00,23:37,37,37,None,Low,1,Great service!,62,2024-10-09,37,Delayed
FN4701,PAX1316,AirNova,JFK,BOS,04:54,05:22,08:23,08:51,28,28,Crew,Medium,5,Delay was frustrating.,207,2024-01-27,28,Delayed
FN8190,PAX1317,CloudAir,DFW,MIA,23:46,00:14,01:46,02:14,28,28,Crew,Medium,4,Great service!,209,2024-08-13,28,Delayed
FN7846,PAX1318,SkyJet,ORD,BOS,06:51,07:16,09:39,10:04,25,25,Weather,Medium,5,Uncomfortable seats.,168,2024-10-03,25,Delayed
FN6086,PAX1319,JetStream,ORD,BOS,05:53,06:27,08:11,08:45,34,34,Technical,Low,1,Uncomfortable seats.,87,2024-10-12,34,Delayed
FN6738,PAX1320,FlyHigh,LAX,BOS,06:29,06:55,10:17,10:43,26,26,Crew,Medium,5,Delay was frustrating.,131,2024-04-06,26,Delayed
FN7361,PAX1321,AirNova,ATL,MIA,18:26,19:05,22:20,22:59,39,39,Technical,Low,4,Smooth flight.,187,2024-10-10,39,Delayed
FN6842,PAX1322,SkyJet,DFW,MIA,03:54,04:27,05:44,06:17,33,33,None,Low,2,Friendly staff.,152,2024-11-12,33,Delayed
FN3257,PAX1323,AirNova,JFK,PHX,22:58,23:27,02:12,02:15,29,3,None,Medium,5,Uncomfortable seats.,122,2024-10-30,3,Delayed
FN8170,PAX1324,SkyJet,ATL,PHX,18:43,19:16,22:29,22:30,33,1,None,Medium,1,Smooth flight.,103,2024-05-26,1,Delayed
FN4173,PAX1325,CloudAir,LAX,DEN,21:15,21:46,23:58,23:57,31,-1,Weather,High,2,Friendly staff.,202,2024-01-04,0,On Time
FN4923,PAX1326,SkyJet,ATL,PHX,20:05,20:31,23:36,00:02,26,26,Weather,Medium,2,Great service!,253,2024-02-04,26,Delayed
FN2524,PAX1327,JetStream,ATL,MIA,02:54,03:29,06:37,07:12,35,35,None,Low,4,Uncomfortable seats.,175,2024-07-10,35,Delayed
FN9835,PAX1328,FlyHigh,JFK,SEA,06:12,06:48,08:56,09:32,36,36,None,Low,5,Smooth flight.,254,2024-02-18,36,Delayed
FN7683,PAX1329,JetStream,JFK,DEN,20:41,21:06,23:25,23:50,25,25,Weather,Medium,5,Smooth flight.,234,2024-01-17,25,Delayed
FN8006,PAX1330,SkyJet,ORD,PHX,23:37,00:04,02:50,03:17,27,27,Crew,Medium,5,,151,2024-06-20,27,Delayed
FN8763,PAX1331,SkyJet,JFK,PHX,09:18,09:37,11:13,11:12,19,-1,Weather,High,1,Friendly staff.,215,2024-08-07,0,On Time
FN3645,PAX1332,CloudAir,ATL,BOS,00:14,00:42,02:29,02:29,28,0,Technical,High,2,Friendly staff.,52,2024-06-06,0,On Time
FN3743,PAX1333,FlyHigh,DFW,DEN,08:12,08:49,10:51,10:49,37,-2,None,High,4,Uncomfortable seats.,138,2024-02-15,0,On Time
FN9988,PAX1334,FlyHigh,ORD,SEA,05:10,05:35,08:53,08:50,25,-3,Technical,High,4,Friendly staff.,129,2024-01-06,0,On Time
FN7976,PAX1335,FlyHigh,ORD,BOS,21:10,21:38,00:15,00:43,28,28,Crew,Medium,2,Delay was frustrating.,135,2024-04-08,28,Delayed
FN6722,PAX1336,AirNova,DFW,DEN,02:16,02:52,05:29,06:05,36,36,Weather,Low,3,,222,2024-08-20,36,Delayed
FN4824,PAX1337,FlyHigh,ORD,DEN,21:28,22:11,00:26,01:09,43,43,Technical,Low,5,,162,2024-02-06,43,Delayed
FN3161,PAX1338,JetStream,ATL,BOS,11:57,12:25,14:48,15:16,28,28,Weather,Medium,5,Great service!,59,2024-10-06,28,Delayed
FN2772,PAX1339,JetStream,ATL,SEA,17:44,18:00,21:38,21:40,16,2,None,Medium,4,Friendly staff.,228,2024-12-14,2,Delayed
FN7297,PAX1340,AirNova,DFW,SEA,09:47,10:21,12:03,12:37,34,34,Technical,Low,5,Friendly staff.,192,2024-10-28,34,Delayed
FN5570,PAX1341,SkyJet,ORD,DEN,18:52,19:23,22:48,23:19,31,31,Weather,Low,5,Friendly staff.,160,2024-06-29,31,Delayed
FN7614,PAX1342,AirNova,ATL,MIA,19:47,20:20,21:20,21:23,33,3,Weather,Medium,3,Great service!,230,2024-04-04,3,Delayed
FN4156,PAX1343,AirNova,LAX,PHX,11:39,12:09,15:26,15:56,30,30,Technical,Medium,5,Great service!,245,2024-04-08,30,Delayed
FN9497,PAX1344,AirNova,JFK,DEN,17:41,18:15,21:31,22:05,34,34,None,Low,5,Great service!,175,2024-07-06,34,Delayed
FN4273,PAX1345,FlyHigh,ATL,DEN,08:23,08:57,10:08,10:17,34,9,Weather,Medium,4,Uncomfortable seats.,273,2024-04-25,9,Delayed
FN3800,PAX1346,JetStream,ORD,PHX,13:04,13:36,16:36,17:08,32,32,None,Low,2,,176,2024-07-09,32,Delayed
FN4489,PAX1347,FlyHigh,ORD,SEA,20:21,21:00,23:56,00:35,39,39,Weather,Low,2,Uncomfortable seats.,133,2024-09-09,39,Delayed
FN5160,PAX1348,JetStream,JFK,MIA,22:40,23:13,01:58,02:31,33,33,Technical,Low,2,,177,2024-06-09,33,Delayed
FN1992,PAX1349,JetStream,JFK,BOS,06:08,06:33,09:00,09:25,25,25,Technical,Medium,3,Uncomfortable seats.,129,2024-09-12,25,Delayed
FN4093,PAX1350,FlyHigh,DFW,SEA,10:58,11:26,13:56,13:54,28,-2,Technical,High,1,Uncomfortable seats.,168,2024-11-18,0,On Time
FN6131,PAX1351,AirNova,ATL,BOS,16:54,17:33,19:35,19:30,39,-5,Technical,High,3,Smooth flight.,146,2024-05-07,0,On Time
FN4951,PAX1352,JetStream,DFW,PHX,14:05,14:37,16:07,16:39,32,32,Crew,Low,3,Great service!,96,2024-01-18,32,Delayed
FN9319,PAX1353,AirNova,JFK,PHX,19:24,19:59,21:07,21:42,35,35,Weather,Low,3,Uncomfortable seats.,251,2024-10-07,35,Delayed
FN2988,PAX1354,CloudAir,LAX,PHX,23:35,23:55,01:21,01:25,20,4,None,Medium,3,Uncomfortable seats.,253,2024-08-10,4,Delayed
FN7309,PAX1355,CloudAir,ATL,SEA,12:57,13:27,14:28,14:58,30,30,Crew,Medium,1,Great service!,279,2024-02-23,30,Delayed
FN3849,PAX1356,FlyHigh,JFK,SEA,09:12,09:33,12:05,12:01,21,-4,Technical,High,4,Friendly staff.,145,2024-02-27,0,On Time
FN7409,PAX1357,AirNova,LAX,SEA,01:39,02:05,04:13,04:16,26,3,None,Medium,5,,172,2024-11-18,3,Delayed
FN1816,PAX1358,JetStream,JFK,BOS,06:53,07:26,10:15,10:48,33,33,Technical,Low,5,Friendly staff.,286,2024-12-25,33,Delayed
FN4676,PAX1359,FlyHigh,ORD,PHX,14:01,14:22,17:37,17:58,21,21,None,Medium,1,Delay was frustrating.,66,2024-06-22,21,Delayed
FN2134,PAX1360,SkyJet,ATL,PHX,17:44,18:09,19:52,19:53,25,1,Weather,Medium,2,Uncomfortable seats.,118,2024-10-06,1,Delayed
FN5426,PAX1361,CloudAir,ATL,BOS,04:55,05:23,07:26,07:54,28,28,Technical,Medium,3,,176,2024-04-23,28,Delayed
FN1602,PAX1362,FlyHigh,ATL,DEN,05:18,05:49,08:29,09:00,31,31,None,Low,3,Uncomfortable seats.,156,2024-10-14,31,Delayed
FN3817,PAX1363,AirNova,LAX,PHX,13:15,13:54,16:06,16:45,39,39,None,Low,4,,217,2024-12-07,39,Delayed
FN8829,PAX1364,FlyHigh,JFK,BOS,21:15,21:38,23:02,23:25,23,23,Crew,Medium,2,Delay was frustrating.,184,2024-05-30,23,Delayed
